top_oligo,treatment,plate,well,n_cells,mean_umi,mean_mito
BMP.E1.PLATE3,BMP,PLATE3,E1,385,503.2805194805195,3.5398853178662364
BMP.E2.PLATE3,BMP,PLATE3,E2,1044,504.676245210728,3.6746411301684017
BMP.E3.PLATE3,BMP,PLATE3,E3,724,547.1243093922652,2.4441086710963225
BMP.E4.PLATE3,BMP,PLATE3,E4,762,456.6036745406824,3.1652965692693344
BMP.E5.PLATE3,BMP,PLATE3,E5,1195,527.073640167364,2.9045311555228115
BMP.E6.PLATE3,BMP,PLATE3,E6,453,536.066225165563,2.9244652156192554
BMP.E7.PLATE3,BMP,PLATE3,E7,712,603.8567415730337,2.9334950546604914
BMP.E8.PLATE3,BMP,PLATE3,E8,244,531.561475409836,2.964154988009451
BMP.E9.PLATE3,BMP,PLATE3,E9,156,515.8012820512821,3.434338333550386
BMP.E10.PLATE3,BMP,PLATE3,E10,308,509.7922077922078,2.192623442522751
BMP.E11.PLATE3,BMP,PLATE3,E11,853,503.0609613130129,2.2021119593152205
BMP.E12.PLATE3,BMP,PLATE3,E12,299,489.371237458194,3.688960423126215
BMP.F1.PLATE3,BMP,PLATE3,F1,1003,531.271186440678,2.485404556019979
BMP.F2.PLATE3,BMP,PLATE3,F2,256,451.5703125,3.519743584516756
BMP.F3.PLATE3,BMP,PLATE3,F3,1289,588.1093871217998,2.546298423318322
BMP.F4.PLATE3,BMP,PLATE3,F4,241,521.7759336099585,1.8723605216399581
BMP.F5.PLATE3,BMP,PLATE3,F5,487,567.987679671458,2.451859131731136
BMP.F6.PLATE3,BMP,PLATE3,F6,149,535.3557046979865,3.1674157655573905
BMP.F7.PLATE3,BMP,PLATE3,F7,997,542.7753259779338,2.079041835660402
BMP.F8.PLATE3,BMP,PLATE3,F8,422,537.1587677725119,1.7039716236652462
BMP.F9.PLATE3,BMP,PLATE3,F9,612,490.1127450980392,3.1340029564074996
BMP.F10.PLATE3,BMP,PLATE3,F10,602,484.45348837209303,2.257945026336191
BMP.F11.PLATE3,BMP,PLATE3,F11,319,410.72727272727275,3.398896375888125
BMP.F12.PLATE3,BMP,PLATE3,F12,416,566.2427884615385,1.629292351329327
BMP.G1.PLATE3,BMP,PLATE3,G1,511,513.8943248532289,2.672853457382775
BMP.G2.PLATE3,BMP,PLATE3,G2,545,496.9816513761468,3.889169081666437
BMP.G3.PLATE3,BMP,PLATE3,G3,687,557.2678311499272,2.3776502984866785
BMP.G4.PLATE3,BMP,PLATE3,G4,167,563.0419161676647,3.391899065710936
BMP.G5.PLATE3,BMP,PLATE3,G5,646,529.3467492260062,2.6048148181602877
BMP.G6.PLATE3,BMP,PLATE3,G6,355,487.9802816901408,3.601734062348993
BMP.G7.PLATE3,BMP,PLATE3,G7,757,530.7173051519154,3.1023493871944385
BMP.G8.PLATE3,BMP,PLATE3,G8,129,445.7674418604651,2.5441880558955963
BMP.G9.PLATE3,BMP,PLATE3,G9,1376,562.3699127906976,2.2932184873840225
BMP.G10.PLATE3,BMP,PLATE3,G10,1136,565.5827464788732,2.98288172218974
BMP.G11.PLATE3,BMP,PLATE3,G11,352,518.1022727272727,3.490336361461623
BMP.G12.PLATE3,BMP,PLATE3,G12,279,518.2831541218638,2.1484974995255905
BMP.H1.PLATE3,BMP,PLATE3,H1,581,560.9466437177281,4.092321186889036
BMP.H2.PLATE3,BMP,PLATE3,H2,186,520.3387096774194,2.3263699639556905
BMP.H3.PLATE3,BMP,PLATE3,H3,545,516.8128440366972,2.5344802204235233
BMP.H4.PLATE3,BMP,PLATE3,H4,166,517.7048192771084,2.6796967948421395
BMP.H5.PLATE3,BMP,PLATE3,H5,238,490.93277310924367,3.764437193954954
BMP.H6.PLATE3,BMP,PLATE3,H6,254,538.0629921259842,2.5813202805913846
BMP.H7.PLATE3,BMP,PLATE3,H7,150,528.18,2.6784310287450355
BMP.H9.PLATE3,BMP,PLATE3,H9,426,521.8990610328639,3.3764148845207598
BMP.H10.PLATE3,BMP,PLATE3,H10,99,553.6969696969697,3.515130175368874
BMP.H11.PLATE3,BMP,PLATE3,H11,85,552.1764705882352,1.8233668864950703
BMP.H12.PLATE3,BMP,PLATE3,H12,386,601.279792746114,3.053465723564195
BMP:CHIR.E1.PLATE2,CHIR,PLATE2,E1,936,484.41132478632477,2.975352757494578
BMP:CHIR.E2.PLATE2,CHIR,PLATE2,E2,1458,478.6282578875171,3.4784106459014077
BMP:CHIR.E3.PLATE2,CHIR,PLATE2,E3,415,489.30602409638556,3.1987366331296223
BMP:CHIR.E4.PLATE2,CHIR,PLATE2,E4,58,364.6896551724138,3.893067087699853
BMP:CHIR.E5.PLATE2,CHIR,PLATE2,E5,748,482.0655080213904,3.111625883305833
BMP:CHIR.E6.PLATE2,CHIR,PLATE2,E6,262,493.3435114503817,3.2058937750102854
BMP:CHIR.E7.PLATE2,CHIR,PLATE2,E7,897,482.85395763656635,2.575697375963757
BMP:CHIR.E8.PLATE2,CHIR,PLATE2,E8,2127,479.14715561824164,3.661774622746915
BMP:CHIR.E9.PLATE2,CHIR,PLATE2,E9,1971,466.63774733637746,3.967766268914039
BMP:CHIR.E10.PLATE2,CHIR,PLATE2,E10,1171,465.2912040990606,3.2829677072788144
BMP:CHIR.E11.PLATE2,CHIR,PLATE2,E11,834,493.4064748201439,3.998445132793088
BMP:CHIR.E12.PLATE2,CHIR,PLATE2,E12,1471,478.4581917063222,3.5056822821073066
BMP:CHIR.F1.PLATE2,CHIR,PLATE2,F1,1090,431.08715596330273,3.8195299693541847
BMP:CHIR.F2.PLATE2,CHIR,PLATE2,F2,1302,517.947004608295,2.5675668061397325
BMP:CHIR.F3.PLATE2,CHIR,PLATE2,F3,726,481.9765840220386,3.4815548216943495
BMP:CHIR.F4.PLATE2,CHIR,PLATE2,F4,990,389.9949494949495,5.183497068202976
BMP:CHIR.F5.PLATE2,CHIR,PLATE2,F5,1180,447.76186440677964,3.589008058829593
BMP:CHIR.F6.PLATE2,CHIR,PLATE2,F6,1820,524.989010989011,1.9415548626181074
BMP:CHIR.F7.PLATE2,CHIR,PLATE2,F7,1533,442.36333985649054,3.2243222454657228
BMP:CHIR.F8.PLATE2,CHIR,PLATE2,F8,1660,520.2120481927711,3.444332754002101
BMP:CHIR.F9.PLATE2,CHIR,PLATE2,F9,1220,532.9926229508196,2.635576841480391
BMP:CHIR.F10.PLATE2,CHIR,PLATE2,F10,53,430.1698113207547,2.169898651206244
BMP:CHIR.F11.PLATE2,CHIR,PLATE2,F11,348,417.117816091954,4.650339991619574
BMP:CHIR.F12.PLATE2,CHIR,PLATE2,F12,438,413.61187214611874,4.694817042928362
BMP:CHIR.G1.PLATE2,CHIR,PLATE2,G1,862,463.06844547563804,3.3101808588876236
BMP:CHIR.G2.PLATE2,CHIR,PLATE2,G2,912,511.30592105263156,3.0926502255768025
BMP:CHIR.G3.PLATE2,CHIR,PLATE2,G3,503,441.0755467196819,4.130931124798747
BMP:CHIR.G4.PLATE2,CHIR,PLATE2,G4,581,416.1308089500861,4.615384449792289
BMP:CHIR.G5.PLATE2,CHIR,PLATE2,G5,578,405.7716262975779,5.190427153545755
BMP:CHIR.G6.PLATE2,CHIR,PLATE2,G6,1080,438.0324074074074,4.48414103684168
BMP:CHIR.G7.PLATE2,CHIR,PLATE2,G7,2263,441.58197083517456,4.752468793293388
BMP:CHIR.G8.PLATE2,CHIR,PLATE2,G8,463,406.93088552915765,4.3578451880294296
BMP:CHIR.G9.PLATE2,CHIR,PLATE2,G9,682,405.42815249266863,4.529993813640367
BMP:CHIR.G10.PLATE2,CHIR,PLATE2,G10,411,434.3430656934307,3.473214781917247
BMP:CHIR.G11.PLATE2,CHIR,PLATE2,G11,724,520.2983425414365,5.270800811241754
BMP:CHIR.G12.PLATE2,CHIR,PLATE2,G12,114,431.96491228070175,3.925781383109885
BMP:CHIR.H1.PLATE2,CHIR,PLATE2,H1,554,458.6624548736462,3.4754448547021806
BMP:CHIR.H2.PLATE2,CHIR,PLATE2,H2,1218,476.1305418719212,4.534256290113856
BMP:CHIR.H3.PLATE2,CHIR,PLATE2,H3,623,533.7415730337078,3.6862155519581714
BMP:CHIR.H4.PLATE2,CHIR,PLATE2,H4,516,458.8837209302326,3.196949008808018
BMP:CHIR.H5.PLATE2,CHIR,PLATE2,H5,463,386.05615550755937,4.174189321989185
BMP:CHIR.H6.PLATE2,CHIR,PLATE2,H6,291,381.2474226804124,4.7451848696064145
BMP:CHIR.H7.PLATE2,CHIR,PLATE2,H7,216,495.60185185185185,4.964078725292798
BMP:CHIR.H8.PLATE2,CHIR,PLATE2,H8,856,398.1892523364486,5.464836707991031
BMP:CHIR.H9.PLATE2,CHIR,PLATE2,H9,373,462.5817694369973,4.768806940779723
BMP:CHIR.H10.PLATE2,CHIR,PLATE2,H10,1396,488.72707736389685,3.662017896867927
BMP:CHIR.H11.PLATE2,CHIR,PLATE2,H11,957,514.7690700104494,2.5676998510374425
BMP:CHIR.H12.PLATE2,CHIR,PLATE2,H12,228,441.24122807017545,4.871314407401112
BMP:SU5402:CHIR.A1.PLATE3,SU5402:CHIR,PLATE3,A1,1519,552.7478604344964,4.867403223044798
BMP:SU5402:CHIR.A2.PLATE3,SU5402:CHIR,PLATE3,A2,1023,571.7214076246335,4.314044676608017
BMP:SU5402:CHIR.A3.PLATE3,SU5402:CHIR,PLATE3,A3,545,538.3229357798165,5.329562025747053
BMP:SU5402:CHIR.A4.PLATE3,SU5402:CHIR,PLATE3,A4,236,485.0762711864407,5.252866275078556
BMP:SU5402:CHIR.A5.PLATE3,SU5402:CHIR,PLATE3,A5,365,513.7643835616439,4.576079942458109
BMP:SU5402:CHIR.A6.PLATE3,SU5402:CHIR,PLATE3,A6,630,503.93174603174606,5.472630141316508
BMP:SU5402:CHIR.A7.PLATE3,SU5402:CHIR,PLATE3,A7,913,526.39430449069,4.127221356065919
BMP:SU5402:CHIR.A8.PLATE3,SU5402:CHIR,PLATE3,A8,1832,552.5584061135371,4.070485126060739
BMP:SU5402:CHIR.A9.PLATE3,SU5402:CHIR,PLATE3,A9,254,409.9724409448819,5.153086286643865
BMP:SU5402:CHIR.A11.PLATE3,SU5402:CHIR,PLATE3,A11,373,492.8605898123324,5.212627510356945
BMP:SU5402:CHIR.B1.PLATE3,SU5402:CHIR,PLATE3,B1,639,544.4084507042254,5.078712259106488
BMP:SU5402:CHIR.B2.PLATE3,SU5402:CHIR,PLATE3,B2,318,423.84276729559747,4.849196590606281
BMP:SU5402:CHIR.B3.PLATE3,SU5402:CHIR,PLATE3,B3,2777,489.6629456247749,3.098668719847184
BMP:SU5402:CHIR.B4.PLATE3,SU5402:CHIR,PLATE3,B4,235,508.3744680851064,5.576468377494495
BMP:SU5402:CHIR.B5.PLATE3,SU5402:CHIR,PLATE3,B5,86,495.6744186046512,7.455919768018039
BMP:SU5402:CHIR.B6.PLATE3,SU5402:CHIR,PLATE3,B6,1390,498.73093525179854,5.777163897021009
BMP:SU5402:CHIR.B7.PLATE3,SU5402:CHIR,PLATE3,B7,796,507.98743718592965,5.402598090802532
BMP:SU5402:CHIR.B8.PLATE3,SU5402:CHIR,PLATE3,B8,905,443.7524861878453,4.154721151057671
BMP:SU5402:CHIR.B9.PLATE3,SU5402:CHIR,PLATE3,B9,344,437.57848837209303,5.033850376387231
BMP:SU5402:CHIR.B10.PLATE3,SU5402:CHIR,PLATE3,B10,249,419.04819277108436,4.762994465144902
BMP:SU5402:CHIR.B11.PLATE3,SU5402:CHIR,PLATE3,B11,2577,513.4136592937524,3.969190640593385
BMP:SU5402:CHIR.B12.PLATE3,SU5402:CHIR,PLATE3,B12,249,473.3092369477912,5.711095871886194
BMP:SU5402:CHIR.C1.PLATE3,SU5402:CHIR,PLATE3,C1,404,467.2227722772277,4.454653391608959
BMP:SU5402:CHIR.C2.PLATE3,SU5402:CHIR,PLATE3,C2,491,490.88187372708757,5.856211815577887
BMP:SU5402:CHIR.C3.PLATE3,SU5402:CHIR,PLATE3,C3,446,464.2780269058296,3.7292260499818
BMP:SU5402:CHIR.C4.PLATE3,SU5402:CHIR,PLATE3,C4,298,437.9563758389262,3.877308584535099
BMP:SU5402:CHIR.C5.PLATE3,SU5402:CHIR,PLATE3,C5,1699,449.70453207769276,5.2115781923032385
BMP:SU5402:CHIR.C6.PLATE3,SU5402:CHIR,PLATE3,C6,359,487.949860724234,3.590714645460075
BMP:SU5402:CHIR.C7.PLATE3,SU5402:CHIR,PLATE3,C7,303,474.35973597359737,6.720817312974172
BMP:SU5402:CHIR.C8.PLATE3,SU5402:CHIR,PLATE3,C8,179,454.5027932960894,4.648211444106077
BMP:SU5402:CHIR.C9.PLATE3,SU5402:CHIR,PLATE3,C9,910,501.3736263736264,3.3174279820040242
BMP:SU5402:CHIR.C10.PLATE3,SU5402:CHIR,PLATE3,C10,197,411.994923857868,5.3977403711718654
BMP:SU5402:CHIR.C11.PLATE3,SU5402:CHIR,PLATE3,C11,614,488.92345276872965,3.8257255721900822
BMP:SU5402:CHIR.D1.PLATE3,SU5402:CHIR,PLATE3,D1,763,460.043250327654,4.086342042043682
BMP:SU5402:CHIR.D2.PLATE3,SU5402:CHIR,PLATE3,D2,989,467.1193124368049,4.655045743183639
BMP:SU5402:CHIR.D3.PLATE3,SU5402:CHIR,PLATE3,D3,262,478.48473282442745,6.289484068581417
BMP:SU5402:CHIR.D4.PLATE3,SU5402:CHIR,PLATE3,D4,537,433.584729981378,4.952970408225077
BMP:SU5402:CHIR.D5.PLATE3,SU5402:CHIR,PLATE3,D5,404,416.0420792079208,4.24898716511861
BMP:SU5402:CHIR.D6.PLATE3,SU5402:CHIR,PLATE3,D6,212,536.0518867924528,3.423218322077534
BMP:SU5402:CHIR.D7.PLATE3,SU5402:CHIR,PLATE3,D7,638,478.9576802507837,4.091220068759474
BMP:SU5402:CHIR.D8.PLATE3,SU5402:CHIR,PLATE3,D8,100,376.79,3.7879995873975902
BMP:SU5402:CHIR.D9.PLATE3,SU5402:CHIR,PLATE3,D9,3226,487.44048357098575,4.194484834075282
