organoid_id,treatment,n_cells,plate,well,mean_umi,mean_mito,major_cell_type,split
BMP.E1.PLATE3,BMP,385,PLATE3,E1,503.2805194805195,3.5398853178662364,RPC,train
BMP.E10.PLATE3,BMP,308,PLATE3,E10,509.7922077922078,2.192623442522751,RPC,test
BMP.E11.PLATE3,BMP,853,PLATE3,E11,503.0609613130129,2.2021119593152205,RPC,train
BMP.E12.PLATE3,BMP,299,PLATE3,E12,489.371237458194,3.688960423126215,RPC,train
BMP.E2.PLATE3,BMP,1044,PLATE3,E2,504.676245210728,3.6746411301684017,RPC,train
BMP.E3.PLATE3,BMP,724,PLATE3,E3,547.1243093922652,2.4441086710963225,RPC,val
BMP.E4.PLATE3,BMP,762,PLATE3,E4,456.6036745406824,3.1652965692693344,RPC,train
BMP.E5.PLATE3,BMP,1195,PLATE3,E5,527.073640167364,2.9045311555228115,RPC,train
BMP.E6.PLATE3,BMP,453,PLATE3,E6,536.066225165563,2.9244652156192554,RPC,val
BMP.E7.PLATE3,BMP,712,PLATE3,E7,603.8567415730337,2.9334950546604914,RPC,test
BMP.E8.PLATE3,BMP,244,PLATE3,E8,531.561475409836,2.964154988009451,RPC,test
BMP.E9.PLATE3,BMP,156,PLATE3,E9,515.8012820512821,3.434338333550386,RPC,test
BMP.F1.PLATE3,BMP,1003,PLATE3,F1,531.271186440678,2.485404556019979,RPC,train
BMP.F10.PLATE3,BMP,602,PLATE3,F10,484.45348837209303,2.257945026336191,RPC,train
BMP.F11.PLATE3,BMP,319,PLATE3,F11,410.72727272727275,3.398896375888125,RPC,train
BMP.F12.PLATE3,BMP,416,PLATE3,F12,566.2427884615385,1.629292351329327,RPC,train
BMP.F2.PLATE3,BMP,256,PLATE3,F2,451.5703125,3.519743584516756,RPC,train
BMP.F3.PLATE3,BMP,1289,PLATE3,F3,588.1093871217998,2.546298423318322,RPC,train
BMP.F4.PLATE3,BMP,241,PLATE3,F4,521.7759336099585,1.8723605216399581,RPC,train
BMP.F5.PLATE3,BMP,487,PLATE3,F5,567.987679671458,2.451859131731136,RPC,train
BMP.F6.PLATE3,BMP,149,PLATE3,F6,535.3557046979865,3.1674157655573905,RPC,train
BMP.F7.PLATE3,BMP,997,PLATE3,F7,542.7753259779338,2.079041835660402,RPC,train
BMP.F8.PLATE3,BMP,422,PLATE3,F8,537.1587677725119,1.7039716236652462,RPC,train
BMP.F9.PLATE3,BMP,612,PLATE3,F9,490.1127450980392,3.1340029564074996,RPC,test
BMP.G1.PLATE3,BMP,511,PLATE3,G1,513.8943248532289,2.672853457382775,RPC,val
BMP.G10.PLATE3,BMP,1136,PLATE3,G10,565.5827464788732,2.98288172218974,RPC,train
